edgeID,startNode,endNode
FDEPT00101_FHALL00101,FDEPT00101,FHALL00101
FDEPT00101_FHALL00201,FDEPT00101,FHALL00201
FDEPT00101_FHALL00501,FDEPT00101,FHALL00501
FHALL00101_FSTAI00101,FHALL00101,FSTAI00101
FHALL00101_FSTAI00201,FHALL00101,FSTAI00201
FHALL00101_FHALL00201,FHALL00101,FHALL00201
FHALL00201_FHALL00501,FHALL00201,FHALL00501
FSTAI00101_FSTAI00201,FSTAI00101,FSTAI00201
FHALL00201_FHALL00301,FHALL00201,FHALL00301
FHALL00301_FHALL00401,FHALL00301,FHALL00401
FHALL00301_FHALL00701,FHALL00301,FHALL00701
FHALL00401_FHALL00701,FHALL00401,FHALL00701
FHALL00601_FEXIT00101,FHALL00601,FEXIT00101
FHALL00601_FSERV00301,FHALL00601,FSERV00301
FHALL00601_FHALL01001,FHALL00601,FHALL01001
FSERV00301_FHALL01001,FSERV00301,FHALL01001
FHALL01001_FHALL01101,FHALL01001,FHALL01101
FHALL00701_FHALL00801,FHALL00701,FHALL00801
FHALL00701_FHALL01301,FHALL00701,FHALL01301
FHALL00801_FHALL01301,FHALL00801,FHALL01301
FHALL01301_FSERV00101,FHALL01301,FSERV00101
FHALL001301_FDEPT00201,FHALL01301,FDEPT00201
FHALL01301_FHALL01201,FHALL01301,FHALL01201
FHALL01201_FDEPT00201,FHALL01201,FDEPT00201
FHALL01201_FHALL01101,FHALL01201,FHALL01101
FHALL01201_FDEPT00301,FHALL01201,FDEPT00301
FHALL01201_FHALL01501,FHALL01201,FHALL01501
FDEPT00301_FHALL01501,FDEPT00301,FHALL01501
FHALL01501_FHALL01601,FHALL01501,FHALL01601
FHALL01501_FSERV00401,FHALL01501,FSERV00401
FHALL01601_FSERV00401,FHALL01601,FSERV00401
FHALL01601_FDEPT00301,FHALL01601,FDEPT00301
FDEPT00301_FDEPT00401,FDEPT00301,FDEPT00401
FHALL01201_FHALL01401,FHALL01201,FHALL01401
FDEPT00301_FHALL01401,FDEPT00301,FHALL01401
FHALL01401_FINFO00101,FHALL01401,FINFO00101
FHALL01401_FEXIT00401,FHALL01401,FEXIT00401
FINFO00101_FEXIT00401,FINFO00101,FEXIT00401
FINFO00101_FFEXIT00301,FINFO00101,FEXIT00301
FINFO00101_FRETL00301,FINFO00101,FRETL00301
FEXIT00301_FRETL00201,FEXIT00301,FRETL00201
FHALL01401_FDEPT00501,FHALL01401,FDEPT00501
FEXIT00401_FDEPT00501,FEXIT00401,FDEPT00501
FDEPT00501_FSTAI00401,FDEPT00501,FSTAI00401
FSTAI00401_FHALL01801,FSTAI00401,FHALL01801
FHALL001801_FEXIT00501,FHALL01801,FEXIT00501
FEXIT00501_FDEPT00601,FEXIT00501,FDEPT00601
FDEPT00601_FEXIT00601,FDEPT00601,FEXIT00601
FHALL01801_FHALL01701,FHALL01801,FHALL01701
FHALL01701_FSERV00501,FHALL01701,FSERV00501
FHALL01701_FSERV00601,FHALL01701,FSERV00601
FHALL01701_FSTAI00301,FHALL01701,FSTAI00101
FHALL01701_FEXIT00201,FHALL01701,FEXIT00201
FHALL01701_FSERV00201,FHALL01701,FSERV00201
FHALL01701_FRETL00101,FHALL01701,FRETL00101
FSERV00201_FRETL00101,FSERV00201,FRETL00101
FRETL00101_FEXIT00201,FRETL00101,FEXIT00201
FHALL01701_FHALL00901,FHALL01701,FHALL00901
FHALL00901_FHALL00801,FHALL00901,FHALL00801
FHALL01401_WELEV00M01,FHALL01401,WELEV00M01
FHALL01701_WHALL00101,FHALL01701,WHALL00101
FHALL00901_WELEV00L01,FHALL00901,WELEV00L01
