NODEID,XCOORD,YCOORD,FLOOR,BUILDING,NODETYPE,LONGNAME,SHORTNAME,TEAMASSIGNED
FDEPT00101               ,1617,825,1   ,Tower          ,DEPT,Center for International Medicine                           ,CIM                                                         ,Team F
FSERV00401               ,1721,970,1   ,Tower          ,DEPT,Spiritual Care Office                                       ,SCO                                                         ,Team F
FDEPT00301               ,1721,931,1   ,Tower          ,DEPT,Multifaith Chapel                                           ,Chapel                                                      ,Team F
FDEPT00201               ,1610,1120,1   ,Tower          ,DEPT,Bretholtz Center for Patients and Families                  ,Bretholtz WR                                                ,Team F
FDEPT00401               ,1794,1146,1   ,Tower          ,DEPT,Sharf Admitting Center                                      ,Sharf Center                                                ,Team F
FDEPT00501               ,2128,1300,1   ,Tower          ,DEPT,Emergency Department                                        ,Emergency                                                   ,Team F
FDEPT00601               ,1780,1029,1   ,Tower          ,DEPT,International Patient Center                                ,IPC                                                         ,Team F
ADEPT0020G               ,1552,2843,G   ,BTM            ,DEPT,Infusion Waiting Area                                       ,Infusion Waiting Area                                       ,Team A
ADEPT00101               ,1401,2628,1   ,BTM            ,DEPT,Neuroscience Waiting Room                                   ,Neuro Waiting Room                                          ,Team A
ADEPT00102               ,1395,2674,2   ,BTM            ,DEPT,Orthopedics and Rhemutalogy                                 ,Orthopedics and Rhemutalogy                                 ,Team A
ADEPT00301               ,986,2852,1   ,BTM            ,DEPT,CART Waiting                                                ,CART Waiting                                                ,Team A
ADEPT0010G               ,1530,2495,G   ,BTM            ,DEPT,Neuro Testing Waiting Area                                  ,Neuro Wating Area                                           ,Team A
ADEPT00201               ,1720,2847,1   ,BTM            ,DEPT,MS Waiting                                                  ,MS Waiting                                                  ,Team A
BDEPT00102               ,2263,786,2   ,45 Francis     ,DEPT,Comprehensive Breast Heath Level 2                          ,DEPT B0102                                                  ,Team B
BDEPT00202               ,2166,1039,2   ,45 Francis     ,DEPT,Oral Medicine and Denstistry Level 2                        ,DEPT B0202                                                  ,Team B
BDEPT00302               ,2389,753,2   ,45 Francis     ,DEPT,Lee Bell Breast Center Level 2                              ,DEPT B0302                                                  ,Team B
BDEPT00402               ,2439,903,2   ,45 Francis     ,DEPT,Jet Center for Primary Care Level 2                         ,DEPT B0402                                                  ,Team B
BDEPT00502               ,2623,1018,2   ,45 Francis     ,DEPT,Ear Nose & Throat Level 2                                   ,DEPT B0502                                                  ,Team B
BDEPT00602               ,2781,1305,2   ,45 Francis     ,DEPT,Medical Surgical Specialties Level 2                        ,DEPT B0602                                                  ,Team B
BDEPT00702               ,2950,775,2   ,45 Francis     ,DEPT,Plastic Surgery Level 2                                     ,DPET B0702                                                  ,Team B
BDEPT00802               ,3155,878,2   ,45 Francis     ,DEPT,Outpatient Pharamacy Level 2                                ,DEPT B0802                                                  ,Team B
